date,host,algo,numproc,msgsize,hostTime,hostMem,simTime
2015-02-19,parapluie-13-0,ring_light_barrier,436,1449438,320.65,1076357024k,88.661586
2015-02-19,parapluie-13-0,ring_mpi_barrier,436,1449438,278.56,1076357152k,88.843526
2015-02-19,parapluie-13-0,ring_one_barrier,436,1449438,269.93,1076356896k,88.667450
2015-02-19,parapluie-13-0,mvapich2_scatter_dest,436,1449438,268.32,1076365312k,88.550721
2015-02-19,parapluie-13-0,mvapich2,436,1449438,271.28,1076365296k,88.550721
2015-02-19,parapluie-13-0,ompi,436,1449438,264.19,1076356608k,88.691000
2015-02-19,parapluie-13-0,mpich,436,1449438,267.08,1076356608k,88.691012
2015-02-19,parapluie-13-0,impi,436,1449438,276.08,1076376816k,88.545959
2015-02-19,parapluie-13-1,basic_linear,38,9286234,13.55,52424688k,3.665432
2015-02-19,parapluie-13-1,bruck,38,9286234,13.43,52424832k,3.665432
2015-02-19,parapluie-13-1,ring,38,9286234,13.57,52418352k,3.682108
2015-02-19,parapluie-13-1,ring_light_barrier,38,9286234,13.57,52418400k,3.684450
2015-02-19,parapluie-13-1,ring_mpi_barrier,38,9286234,13.48,52418432k,3.691802
2015-02-19,parapluie-13-1,ring_one_barrier,38,9286234,13.59,52418416k,3.682367
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,38,9286234,15.35,52418768k,3.669601
2015-02-19,parapluie-13-1,mvapich2,38,9286234,15.33,52418960k,3.669601
2015-02-19,parapluie-13-1,ompi,38,9286234,13.65,52418384k,3.682108
2015-02-19,parapluie-13-1,mpich,38,9286234,13.39,52418368k,3.682108
2015-02-19,parapluie-13-1,impi,38,9286234,15.36,52419184k,3.670648
2015-02-19,parapluie-13-1,basic_linear,242,157303,41.76,72167840k,0.404949
2015-02-19,parapluie-13-1,bruck,242,157303,40.99,72167872k,0.404949
2015-02-19,parapluie-13-1,ring,242,157303,30.74,36183728k,0.543057
2015-02-19,parapluie-13-1,ring_light_barrier,242,157303,31.69,36184288k,0.558670
2015-02-19,parapluie-13-1,ring_mpi_barrier,242,157303,38.81,36184528k,0.614863
2015-02-19,parapluie-13-1,ring_one_barrier,242,157303,37.70,36183824k,0.543382
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,242,157303,30.96,36634144k,0.439476
2015-02-19,parapluie-13-1,mvapich2,242,157303,30.76,36633888k,0.439476
2015-02-19,parapluie-13-1,ompi,242,157303,30.39,36183744k,0.543057
2015-02-19,parapluie-13-1,mpich,242,157303,30.47,36183760k,0.543057
2015-02-19,parapluie-13-1,impi,242,157303,31.40,36637040k,0.440888
2015-02-19,parapluie-13-1,basic_linear,193,9483926,290.86,1380191248k,19.423554
2015-02-19,parapluie-13-1,bruck,193,9483926,286.69,1380191232k,19.423554
2015-02-19,parapluie-13-1,ring,193,9483926,286.78,1379996032k,19.512029
2015-02-19,parapluie-13-1,ring_light_barrier,193,9483926,280.24,1379996144k,19.524454
2015-02-19,parapluie-13-1,ring_mpi_barrier,193,9483926,275.97,1379996448k,19.575254
2015-02-19,parapluie-13-1,ring_one_barrier,193,9483926,280.85,1379996272k,19.512347
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,193,9483926,294.54,1379998528k,19.445788
2015-02-19,parapluie-13-1,mvapich2,193,9483926,298.08,1379998672k,19.445788
2015-02-19,parapluie-13-1,ompi,193,9483926,282.30,1379996016k,19.512029
2015-02-19,parapluie-13-1,mpich,193,9483926,276.49,1379996048k,19.512029
2015-02-19,parapluie-13-1,impi,193,9483926,301.95,1380000928k,19.447185
2015-02-19,parapluie-13-1,basic_linear,372,4759511,699.57,2573647584k,187.048884
2015-02-19,parapluie-13-1,bruck,372,4759511,742.12,2573647472k,187.048884
2015-02-19,parapluie-13-1,ring,372,4759511,532.97,2572871984k,187.570160
2015-02-19,parapluie-13-1,ring_light_barrier,372,4759511,569.21,2572872368k,187.549605
2015-02-19,parapluie-13-1,ring_mpi_barrier,372,4759511,548.50,2572872448k,187.689424
2015-02-19,parapluie-13-1,ring_one_barrier,372,4759511,545.15,2572872112k,187.555260
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,372,4759511,551.74,2572879280k,187.457481
2015-02-19,parapluie-13-1,mvapich2,372,4759511,546.89,2572879440k,187.457487
2015-02-19,parapluie-13-1,ompi,372,4759511,544.65,2572872016k,187.570162
2015-02-19,parapluie-13-1,mpich,372,4759511,544.84,2572871984k,187.565315
2015-02-19,parapluie-13-1,impi,372,4759511,561.14,2572886816k,187.455854
2015-02-19,parapluie-13-1,basic_linear,123,2798228,42.87,165490368k,3.641892
2015-02-19,parapluie-13-1,bruck,123,2798228,40.90,165492848k,3.641892
2015-02-19,parapluie-13-1,ring,123,2798228,41.53,165412272k,3.697942
2015-02-19,parapluie-13-1,ring_light_barrier,123,2798228,42.64,165412352k,3.705814
2015-02-19,parapluie-13-1,ring_mpi_barrier,123,2798228,42.89,165412480k,3.735916
2015-02-19,parapluie-13-1,ring_one_barrier,123,2798228,41.69,165412448k,3.698266
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,123,2798228,43.87,165413760k,3.655789
2015-02-19,parapluie-13-1,mvapich2,123,2798228,42.36,165413600k,3.655789
2015-02-19,parapluie-13-1,ompi,123,2798228,39.88,165412272k,3.697942
2015-02-19,parapluie-13-1,mpich,123,2798228,42.10,165412304k,3.697942
2015-02-19,parapluie-13-1,impi,123,2798228,43.48,165414976k,3.657047
2015-02-19,parapluie-13-1,basic_linear,534,331160,283.50,370575072k,31.190560
2015-02-19,parapluie-13-1,bruck,534,331160,277.43,370571600k,31.190560
2015-02-19,parapluie-13-1,ring,534,331160,130.68,368940896k,31.451705
2015-02-19,parapluie-13-1,ring_light_barrier,534,331160,218.50,368941408k,31.438955
2015-02-19,parapluie-13-1,ring_mpi_barrier,534,331160,145.57,368941536k,31.651375
2015-02-19,parapluie-13-1,ring_one_barrier,534,331160,131.51,368941120k,31.409837
2015-02-19,parapluie-13-1,mvapich2_scatter_dest,534,331160,132.41,368952256k,31.278928
2015-02-19,parapluie-13-1,ompi,534,331160,131.91,368940944k,31.451697
2015-02-19,parapluie-13-1,mpich,534,331160,129.86,368940880k,31.451997
2015-02-19,parapluie-13-1,impi,534,331160,131.89,368971264k,31.270624
